Filename,Line number,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
AirflowNetworkBalanceManager.cc,4223,"""AFN Zone Outdoor Air Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkExchangeData( i ).SumMHr,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4224,"""AFN Zone Mixing Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkExchangeData( i ).SumMMHr,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4225,"""AFN Zone Outdoor Air CO2 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkExchangeData( i ).SumMHrCO,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4226,"""AFN Zone Mixing CO2 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkExchangeData( i ).SumMMHrCO,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4227,"""AFN Zone Total CO2 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkExchangeData( i ).TotalCO2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4233,"""AFN Zone Outdoor Air Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkExchangeData( i ).SumMHr,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4234,"""AFN Zone Mixing Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkExchangeData( i ).SumMMHr,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4236,"""AFN Zone Outdoor Air Generic Air Contaminant Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkExchangeData( i ).SumMHrGC,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4237,"""AFN Zone Mixing Generic Air Contaminant Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkExchangeData( i ).SumMMHrGC,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4238,"""AFN Zone Total Generic Air Contaminant Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkExchangeData( i ).TotalGC,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4452,"""AFN Node Temperature""",,OutputProcessor::Unit::C,AirflowNetworkNodeSimu( i ).TZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4453,"""AFN Node Humidity Ratio""",,OutputProcessor::Unit::kgWater_kgDryAir,AirflowNetworkNodeSimu( i ).WZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4455,"""AFN Node CO2 Concentration""",,OutputProcessor::Unit::ppm,AirflowNetworkNodeSimu( i ).CO2Z,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4458,"""AFN Node Generic Air Contaminant Concentration""",,OutputProcessor::Unit::ppm,AirflowNetworkNodeSimu( i ).GCZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4461,"""AFN Node Total Pressure""",,OutputProcessor::Unit::Pa,AirflowNetworkNodeSimu( i ).PZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4464,"""AFN Node Wind Pressure""",,OutputProcessor::Unit::Pa,AirflowNetworkNodeSimu( i ).PZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4470,"""AFN Linkage Node 1 to Node 2 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkLinkReport( i ).FLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4471,"""AFN Linkage Node 2 to Node 1 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkLinkReport( i ).FLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4472,"""AFN Linkage Node 1 to Node 2 Volume Flow Rate""",,OutputProcessor::Unit::m3_s,AirflowNetworkLinkReport( i ).VolFLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4473,"""AFN Linkage Node 2 to Node 1 Volume Flow Rate""",,OutputProcessor::Unit::m3_s,AirflowNetworkLinkReport( i ).VolFLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4474,"""AFN Linkage Node 1 to Node 2 Pressure Difference""",,OutputProcessor::Unit::Pa,AirflowNetworkLinkSimu( i ).DP,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4482,"""AFN Surface Venting Window or Door Opening Factor""",,OutputProcessor::Unit::None,MultizoneSurfaceData( i ).OpenFactor,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4486,"""AFN Surface Venting Window or Door Opening Modulation Multiplier""",,OutputProcessor::Unit::None,SurfaceWindow( SurfNum ).VentingOpenFactorMultRep,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4487,"""AFN Surface Venting Inside Setpoint Temperature""",,OutputProcessor::Unit::C,SurfaceWindow( SurfNum ).InsideTempForVentingRep,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4488,"""AFN Surface Venting Availability Status""",,OutputProcessor::Unit::None,SurfaceWindow( SurfNum ).VentingAvailabilityRep,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4490,"""AFN Surface Venting Window or Door Opening Factor at Previous Time Step""",,OutputProcessor::Unit::None,MultizoneSurfaceData( i ).OpenFactorLast,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4491,"""AFN Surface Opening Elapsed Time""",,OutputProcessor::Unit::min,MultizoneSurfaceData( i ).OpenElapsedTime,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4492,"""AFN Surface Closing Elapsed Time""",,OutputProcessor::Unit::min,MultizoneSurfaceData( i ).CloseElapsedTime,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4493,"""AFN Surface Opening Status at Previous Time Step""",,OutputProcessor::Unit::None,MultizoneSurfaceData( i ).PrevOpeningstatus,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4494,"""AFN Surface Opening Status""",,OutputProcessor::Unit::None,MultizoneSurfaceData( i ).OpeningStatus,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4495,"""AFN Surface Opening Probability Status""",,OutputProcessor::Unit::None,MultizoneSurfaceData( i ).OpeningProbStatus,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4496,"""AFN Surface Closing Probability Status""",,OutputProcessor::Unit::None,MultizoneSurfaceData( i ).ClosingProbStatus,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4503,"""AFN Zone Infiltration Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).MultiZoneInfiSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4504,"""AFN Zone Infiltration Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).MultiZoneInfiSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4505,"""AFN Zone Mixing Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).MultiZoneMixSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4506,"""AFN Zone Mixing Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).MultiZoneMixSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4507,"""AFN Zone Infiltration Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).MultiZoneInfiSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4508,"""AFN Zone Infiltration Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).MultiZoneInfiSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4509,"""AFN Zone Mixing Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).MultiZoneMixSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4510,"""AFN Zone Mixing Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).MultiZoneMixSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4511,"""AFN Zone Infiltration Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).MultiZoneInfiLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4512,"""AFN Zone Infiltration Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).MultiZoneInfiLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4513,"""AFN Zone Infiltration Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).MultiZoneInfiLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4514,"""AFN Zone Infiltration Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).MultiZoneInfiLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4515,"""AFN Zone Mixing Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).MultiZoneMixLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4516,"""AFN Zone Mixing Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).MultiZoneMixLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4517,"""AFN Zone Mixing Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).MultiZoneMixLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4518,"""AFN Zone Mixing Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).MultiZoneInfiLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4520,"""AFN Zone Duct Leaked Air Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).LeakSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4521,"""AFN Zone Duct Leaked Air Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).LeakSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4522,"""AFN Zone Duct Leaked Air Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).LeakSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4523,"""AFN Zone Duct Leaked Air Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).LeakSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4524,"""AFN Zone Duct Leaked Air Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).LeakLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4525,"""AFN Zone Duct Leaked Air Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).LeakLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4526,"""AFN Zone Duct Leaked Air Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).LeakLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4527,"""AFN Zone Duct Leaked Air Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).LeakLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4529,"""AFN Zone Duct Conduction Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).CondSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4530,"""AFN Zone Duct Conduction Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).CondSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4531,"""AFN Zone Duct Conduction Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).CondSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4532,"""AFN Zone Duct Conduction Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).CondSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4533,"""AFN Zone Duct Diffusion Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).DiffLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4534,"""AFN Zone Duct Diffusion Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).DiffLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4535,"""AFN Zone Duct Diffusion Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).DiffLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4536,"""AFN Zone Duct Diffusion Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).DiffLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4538,"""AFN Zone Duct Radiation Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).RadGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4539,"""AFN Zone Duct Radiation Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).RadGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4540,"""AFN Zone Duct Radiation Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).RadLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4541,"""AFN Zone Duct Radiation Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).RadLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4543,"""AFN Distribution Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).TotalSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4544,"""AFN Distribution Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).TotalSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4545,"""AFN Distribution Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).TotalSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4546,"""AFN Distribution Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).TotalSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4547,"""AFN Distribution Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).TotalLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4548,"""AFN Distribution Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).TotalLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4549,"""AFN Distribution Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData( i ).TotalLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4550,"""AFN Distribution Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData( i ).TotalLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4554,"""AFN Zone Infiltration Volume""",,OutputProcessor::Unit::m3,AirflowNetworkZnRpt( i ).InfilVolume,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4555,"""AFN Zone Infiltration Mass""",,OutputProcessor::Unit::kg,AirflowNetworkZnRpt( i ).InfilMass,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4556,"""AFN Zone Infiltration Air Change Rate""",,OutputProcessor::Unit::ach,AirflowNetworkZnRpt( i ).InfilAirChangeRate,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4557,"""AFN Zone Mixing Volume""",,OutputProcessor::Unit::m3,AirflowNetworkZnRpt( i ).MixVolume,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4558,"""AFN Zone Mixing Mass""",,OutputProcessor::Unit::kg,AirflowNetworkZnRpt( i ).MixMass,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,4563,"""AFN Zone Average Pressure""",,OutputProcessor::Unit::Pa,AirflowNetworkNodeReport( i ).PZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4564,"""AFN Zone On Cycle Pressure""",,OutputProcessor::Unit::Pa,AirflowNetworkNodeReport( i ).PZON,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4565,"""AFN Zone Off Cycle Pressure""",,OutputProcessor::Unit::Pa,AirflowNetworkNodeReport( i ).PZOFF,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4568,"""AFN Linkage Node 1 to 2 Average Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkLinkReport1( i ).FLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4569,"""AFN Linkage Node 2 to 1 Average Mass Flow Rate""",,OutputProcessor::Unit::kg_s,AirflowNetworkLinkReport1( i ).FLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4570,"""AFN Linkage Node 1 to 2 Average Volume Flow Rate""",,OutputProcessor::Unit::m3_s,AirflowNetworkLinkReport1( i ).VolFLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4571,"""AFN Linkage Node 2 to 1 Average Volume Flow Rate""",,OutputProcessor::Unit::m3_s,AirflowNetworkLinkReport1( i ).VolFLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4572,"""AFN Surface Average Pressure Difference""",,OutputProcessor::Unit::Pa,AirflowNetworkLinkReport1( i ).DP,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4573,"""AFN Surface On Cycle Pressure Difference""",,OutputProcessor::Unit::Pa,AirflowNetworkLinkReport1( i ).DPON,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,4574,"""AFN Surface Off Cycle Pressure Difference""",,OutputProcessor::Unit::Pa,AirflowNetworkLinkReport1( i ).DPOFF,"""System""","""Average"""
BaseboardElectric.cc,407,"""Baseboard Total Heating Energy""",,OutputProcessor::Unit::J,Baseboard( BaseboardNum ).Energy,"""System""","""Sum"""
BaseboardElectric.cc,409,"""Baseboard Total Heating Rate""",,OutputProcessor::Unit::W,Baseboard( BaseboardNum ).Power,"""System""","""Average"""
BaseboardElectric.cc,411,"""Baseboard Electric Energy""",,OutputProcessor::Unit::J,Baseboard( BaseboardNum ).ElecUseLoad,"""System""","""Sum"""
BaseboardElectric.cc,413,"""Baseboard Electric Power""",,OutputProcessor::Unit::W,Baseboard( BaseboardNum ).ElecUseRate,"""System""","""Average"""
BaseboardRadiator.cc,455,"""Baseboard Total Heating Energy""",,OutputProcessor::Unit::J,Baseboard( BaseboardNum ).Energy,"""System""","""Sum"""
BaseboardRadiator.cc,457,"""Baseboard Hot Water Energy""",,OutputProcessor::Unit::J,Baseboard( BaseboardNum ).Energy,"""System""","""Sum"""
BaseboardRadiator.cc,459,"""Baseboard Total Heating Rate""",,OutputProcessor::Unit::W,Baseboard( BaseboardNum ).Power,"""System""","""Average"""
BaseboardRadiator.cc,461,"""Baseboard Hot Water Mass Flow Rate""",,OutputProcessor::Unit::kg_s,Baseboard( BaseboardNum ).WaterMassFlowRate,"""System""","""Average"""
BaseboardRadiator.cc,463,"""Baseboard Air Mass Flow Rate""",,OutputProcessor::Unit::kg_s,Baseboard( BaseboardNum ).AirMassFlowRate,"""System""","""Average"""
BaseboardRadiator.cc,465,"""Baseboard Air Inlet Temperature""",,OutputProcessor::Unit::C,Baseboard( BaseboardNum ).AirInletTemp,"""System""","""Average"""
BaseboardRadiator.cc,467,"""Baseboard Air Outlet Temperature""",,OutputProcessor::Unit::C,Baseboard( BaseboardNum ).AirOutletTemp,"""System""","""Average"""
BaseboardRadiator.cc,469,"""Baseboard Water Inlet Temperature""",,OutputProcessor::Unit::C,Baseboard( BaseboardNum ).WaterInletTemp,"""System""","""Average"""
BaseboardRadiator.cc,471,"""Baseboard Water Outlet Temperature""",,OutputProcessor::Unit::C,Baseboard( BaseboardNum ).WaterOutletTemp,"""System""","""Average"""
BoilerSteam.cc,450,"""Boiler Heating Rate""",,OutputProcessor::Unit::W,BoilerReport( BoilerNum ).BoilerLoad,"""System""","""Average"""
BoilerSteam.cc,451,"""Boiler Heating Energy""",,OutputProcessor::Unit::J,BoilerReport( BoilerNum ).BoilerEnergy,"""System""","""Sum"""
BoilerSteam.cc,453,"""Boiler "" + BoilerFuelTypeForOutputVariable( BoilerNum ) + "" Power""",,OutputProcessor::Unit::W,BoilerReport( BoilerNum ).FuelUsed,"""System""","""Average"""
BoilerSteam.cc,455,"""Boiler "" + BoilerFuelTypeForOutputVariable( BoilerNum ) + "" Rate""",,OutputProcessor::Unit::W,BoilerReport( BoilerNum ).FuelUsed,"""System""","""Average"""
BoilerSteam.cc,457,"""Boiler "" + BoilerFuelTypeForOutputVariable( BoilerNum ) + "" Energy""",,OutputProcessor::Unit::J,BoilerReport( BoilerNum ).FuelConsumed,"""System""","""Sum"""
BoilerSteam.cc,458,"""Boiler Steam Inlet Temperature""",,OutputProcessor::Unit::C,BoilerReport( BoilerNum ).BoilerInletTemp,"""System""","""Average"""
BoilerSteam.cc,459,"""Boiler Steam Outlet Temperature""",,OutputProcessor::Unit::C,BoilerReport( BoilerNum ).BoilerOutletTemp,"""System""","""Average"""
BoilerSteam.cc,460,"""Boiler Steam Mass Flow Rate""",,OutputProcessor::Unit::kg_s,BoilerReport( BoilerNum ).Mdot,"""System""","""Average"""
Boilers.cc,535,"""Boiler Heating Rate""",,OutputProcessor::Unit::W,BoilerReport( BoilerNum ).BoilerLoad,"""System""","""Average"""
Boilers.cc,536,"""Boiler Heating Energy""",,OutputProcessor::Unit::J,BoilerReport( BoilerNum ).BoilerEnergy,"""System""","""Sum"""
Boilers.cc,538,"""Boiler "" + BoilerFuelTypeForOutputVariable( BoilerNum ) + "" Power""",,OutputProcessor::Unit::W,BoilerReport( BoilerNum ).FuelUsed,"""System""","""Average"""
Boilers.cc,540,"""Boiler "" + BoilerFuelTypeForOutputVariable( BoilerNum ) + "" Rate""",,OutputProcessor::Unit::W,BoilerReport( BoilerNum ).FuelUsed,"""System""","""Average"""
Boilers.cc,542,"""Boiler "" + BoilerFuelTypeForOutputVariable( BoilerNum ) + "" Energy""",,OutputProcessor::Unit::J,BoilerReport( BoilerNum ).FuelConsumed,"""System""","""Sum"""
Boilers.cc,543,"""Boiler Inlet Temperature""",,OutputProcessor::Unit::C,BoilerReport( BoilerNum ).BoilerInletTemp,"""System""","""Average"""
Boilers.cc,544,"""Boiler Outlet Temperature""",,OutputProcessor::Unit::C,BoilerReport( BoilerNum ).BoilerOutletTemp,"""System""","""Average"""
Boilers.cc,545,"""Boiler Mass Flow Rate""",,OutputProcessor::Unit::kg_s,BoilerReport( BoilerNum ).Mdot,"""System""","""Average"""
Boilers.cc,546,"""Boiler Ancillary Electric Power""",,OutputProcessor::Unit::W,BoilerReport( BoilerNum ).ParasiticElecPower,"""System""","""Average"""
Boilers.cc,547,"""Boiler Ancillary Electric Energy""",,OutputProcessor::Unit::J,BoilerReport( BoilerNum ).ParasiticElecConsumption,"""System""","""Sum"""
Boilers.cc,548,"""Boiler Part Load Ratio""",,OutputProcessor::Unit::None,BoilerReport( BoilerNum ).BoilerPLR,"""System""","""Average"""
CTElectricGenerator.cc,480,"""Generator Produced Electric Power""",,OutputProcessor::Unit::W,CTGeneratorReport( GeneratorNum ).PowerGen,"""System""","""Average"""
CTElectricGenerator.cc,481,"""Generator Produced Electric Energy""",,OutputProcessor::Unit::J,CTGeneratorReport( GeneratorNum ).EnergyGen,"""System""","""Sum"""
CTElectricGenerator.cc,483,"""Generator "" + CTGenerator( GeneratorNum ).FuelType + "" Rate""",,OutputProcessor::Unit::W,CTGeneratorReport( GeneratorNum ).FuelEnergyUseRate,"""System""","""Average"""
CTElectricGenerator.cc,484,"""Generator "" + CTGenerator( GeneratorNum ).FuelType + "" Energy""",,OutputProcessor::Unit::J,CTGeneratorReport( GeneratorNum ).FuelEnergy,"""System""","""Sum"""
CTElectricGenerator.cc,487,"""Generator Fuel HHV Basis Rate""",,OutputProcessor::Unit::W,CTGeneratorReport( GeneratorNum ).FuelEnergyUseRate,"""System""","""Average"""
CTElectricGenerator.cc,488,"""Generator Fuel HHV Basis Energy""",,OutputProcessor::Unit::J,CTGeneratorReport( GeneratorNum ).FuelEnergy,"""System""","""Sum"""
CTElectricGenerator.cc,490,"""Generator "" + CTGenerator( GeneratorNum ).FuelType + "" Mass Flow Rate""",,OutputProcessor::Unit::kg_s,CTGeneratorReport( GeneratorNum ).FuelMdot,"""System""","""Average"""
CTElectricGenerator.cc,492,"""Generator Exhaust Air Temperature""",,OutputProcessor::Unit::C,CTGeneratorReport( GeneratorNum ).ExhaustStackTemp,"""System""","""Average"""
CTElectricGenerator.cc,495,"""Generator Exhaust Heat Recovery Rate""",,OutputProcessor::Unit::W,CTGeneratorReport( GeneratorNum ).QExhaustRecovered,"""System""","""Average"""
CTElectricGenerator.cc,496,"""Generator Exhaust Heat Recovery Energy""",,OutputProcessor::Unit::J,CTGeneratorReport( GeneratorNum ).ExhaustEnergyRec,"""System""","""Sum"""
CTElectricGenerator.cc,498,"""Generator Lube Heat Recovery Rate""",,OutputProcessor::Unit::W,CTGeneratorReport( GeneratorNum ).QLubeOilRecovered,"""System""","""Average"""
CTElectricGenerator.cc,499,"""Generator Lube Heat Recovery Energy""",,OutputProcessor::Unit::J,CTGeneratorReport( GeneratorNum ).LubeOilEnergyRec,"""System""","""Sum"""
CTElectricGenerator.cc,501,"""Generator Produced Thermal Rate""",,OutputProcessor::Unit::W,CTGeneratorReport( GeneratorNum ).QTotalHeatRecovered,"""System""","""Average"""
CTElectricGenerator.cc,502,"""Generator Produced Thermal Energy""",,OutputProcessor::Unit::J,CTGeneratorReport( GeneratorNum ).TotalHeatEnergyRec,"""System""","""Sum"""
CTElectricGenerator.cc,504,"""Generator Heat Recovery Inlet Temperature""",,OutputProcessor::Unit::C,CTGeneratorReport( GeneratorNum ).HeatRecInletTemp,"""System""","""Average"""
CTElectricGenerator.cc,505,"""Generator Heat Recovery Outlet Temperature""",,OutputProcessor::Unit::C,CTGeneratorReport( GeneratorNum ).HeatRecOutletTemp,"""System""","""Average"""
CTElectricGenerator.cc,506,"""Generator Heat Recovery Mass Flow Rate""",,OutputProcessor::Unit::kg_s,CTGeneratorReport( GeneratorNum ).HeatRecMdot,"""System""","""Average"""
ChilledCeilingPanelSimple.cc,635,"""Cooling Panel Total Cooling Rate""",,OutputProcessor::Unit::W,CoolingPanel( CoolingPanelNum ).Power,"""System""","""Average"""
ChilledCeilingPanelSimple.cc,636,"""Cooling Panel Total System Cooling Rate""",,OutputProcessor::Unit::W,CoolingPanel( CoolingPanelNum ).TotPower,"""System""","""Average"""
ChilledCeilingPanelSimple.cc,637,"""Cooling Panel Convective Cooling Rate""",,OutputProcessor::Unit::W,CoolingPanel( CoolingPanelNum ).ConvPower,"""System""","""Average"""
ChilledCeilingPanelSimple.cc,638,"""Cooling Panel Radiant Cooling Rate""",,OutputProcessor::Unit::W,CoolingPanel( CoolingPanelNum ).RadPower,"""System""","""Average"""
ChilledCeilingPanelSimple.cc,640,"""Cooling Panel Total Cooling Energy""",,OutputProcessor::Unit::J,CoolingPanel( CoolingPanelNum ).Energy,"""System""","""Sum"""
ChilledCeilingPanelSimple.cc,641,"""Cooling Panel Total System Cooling Energy""",,OutputProcessor::Unit::J,CoolingPanel( CoolingPanelNum ).TotEnergy,"""System""","""Sum"""
ChilledCeilingPanelSimple.cc,642,"""Cooling Panel Convective Cooling Energy""",,OutputProcessor::Unit::J,CoolingPanel( CoolingPanelNum ).ConvEnergy,"""System""","""Sum"""
